"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Valid from","The start of the period for which this address is valid.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0015]/items[at0007]","5"
"Valid to","Date from which the Address is no longer valid.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.address.v1/items[at0001]/items[at0015]/items[at0008]","5"
"Unstuctured telcoms","An unstructured description of telecoms.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0002]","6"
"Structured telecoms","A structure for telephone numbers composed of separately identifiable elements. ENV13606-4:2000 7.11.18.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0003]","6"
"Country code","Telephone country code.  ENV13606-4:2000 7.11.18.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0003]/items[at0005]","6"
"Area code","Telephone area code.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0003]/items[at0006]","6"
"Number","Telephone number.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0003]/items[at0007]","6"
"Extension","Telephone extension number.  ENV13606-4:2000 7.11.18.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0003]/items[at0019]","6"
"Method","The communications mode e.g Fax. Mobile, Landline, Skype","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0020]","6"
"Use context","The context of use of this telecom contact e.g. Home, Work, Business.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0021]","6"
"Identifier","Identifier of individual.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_personal_uk.v1/items[at0016]","6"
"Date of Birth","Individual's date of birth.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_personal_uk.v1/items[at0007]","6"
"Gender","The administrative phenotypical  gender of the individual.","No","","Primary","CODED_TEXT","[0..1]","","Male; Female; Not specified","","N","","N","","n/a","Yes","Male (local::at0020)| Female (local::at0021)| Not specified (local::at0023)","","","","","","","openEHR-EHR-CLUSTER.individual_personal_uk.v1/items[at0017]","6"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","8"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","8"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]","10"
"Informal carer","An individual identified by the person as offering care and support , excluding paid carers or carers from voluntary agencies.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0018]","10"
"Preferred name","Indicates that this is the name by which a person chooses to be identified.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0022]","12"
"Unstructured name","Name in free text unstructured format.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0001]","12"
"Unstuctured telcoms","An unstructured description of telecoms.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0002]","13"
"Method","The communications mode e.g Fax. Mobile, Landline, Skype","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0020]","13"
"Use context","The context of use of this telecom contact e.g. Home, Work, Business.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0021]","13"
"Relationship to subject","The relationship of this individual to the subject e.g. family member, informal carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_personal_uk.v1/items[at0008]","13"
"Is main informal carer?","True if the individual , excluding paid carers or carers from voluntary agencies, is identified by the subject as being a primary source of care and support.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0018]/items[at0032]","13"
"Is next of kin?","True if this informal care is  the person's next-of-kin.","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0018]/items[at0025]","13"
"Note","Any additional comment or note about the carer or their role.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0018]/items[at0017]","13"
"Formal carer","A health and social care professional or staff member, including a carer from voluntary sector.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0014]","13"
"Unstructured name","Name in free text unstructured format.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.person_name.v1/items[at0001]","15"
"Unstuctured telcoms","An unstructured description of telecoms.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.telecom_uk.v1/items[at0002]","16"
"Professional group","The speciality of the carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional.v1/items[at0006]","16"
"Team","Team to which the individual belongs.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional.v1/items[at0012]","16"
"Is key worker?","True if the formal carer is the subject's key worker?","No","","Primary","BOOLEAN","[0..1]","","True, False","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0014]/items[at0034]","16"
"Professional relationship to subject","The professional role or responsibility of the carer with respect to the person which should help identify them as being an appropriate contact for an aspect of care, usually a professional role or care pathway name.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0014]/items[at0030]","16"
"Note","Any additional comment or note about the carer or their role.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0014]/items[at0017]","16"
"Date updated","The date at which the list of key contacts was created or updated.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.key_contacts.v1/data[at0001]/items[at0008]","16"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","18"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","18"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ADMIN_ENTRY.outpatient_details_rcp.v1/data[at0001]","20"
"Contact type","The type of contact with the outpatient service.","No","","Primary","CODED_TEXT","[0..1]","","Scheduled first contact; Scheduled follow-up contact; Unscheduled contact","","N","","N","","n/a","Yes","Scheduled first contact (local::at0007)| Scheduled follow-up contact (local::at0008)| Unscheduled contact (local::at0009)","","","","","","","openEHR-EHR-ADMIN_ENTRY.outpatient_details_rcp.v1/data[at0001]/items[at0002]","20"
"Purpose of contact","Explanatory statement of the purpose of the contact.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.outpatient_details_rcp.v1/data[at0001]/items[at0004]","20"
"Appointment time","The time the patient was due to be seen.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ADMIN_ENTRY.outpatient_details_rcp.v1/data[at0001]/items[at0005]","20"
"Request","Current Activity.","Yes: Activity","","Label","Text","[1..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/activities[at0001]","22"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/description[at0009]/description[at0009]","22"
"Service requested","Identification of the service requested. This is often coded with an external terminology.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/description[at0009]/description[at0009]/items[at0121]","22"
"Reason for request","A short description of the reason for the request.  This is often coded with an external terminology.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/description[at0009]/description[at0009]/items[at0062]","22"
"Reason description","A narrative description explaining the reason for request.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/description[at0009]/description[at0009]/items[at0064]","22"
"Urgency","Urgency of the request.","No","","Primary","CODED_TEXT","[0..1]","","Emergency; Urgent; Routine","","N","","N","","n/a","Yes","Emergency (local::at0136)| Urgent (local::at0137)| Routine (local::at0138)","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/description[at0009]/description[at0009]/items[at0068]","22"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/protocol[at0008]","22"
"Requestor Identifier","The local ID assigned to the order by the healthcare provider or organisation requesting the service. This is also referred to as Placer Order Identifier.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.request-referral.v1/protocol[at0008]/items[at0010]","22"
"Professional group","The speciality of the carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0006]","23"
"Grade","The employment grade or position of the carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0005]","23"
"Team","Team to which the individual belongs.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0012]","23"
"Professional Identifier","Professional identifier of the individual.","No","","Primary","IDENTIFIER","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0011]","23"
"Professional group","The speciality of the carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0006]","24"
"Grade","The employment grade or position of the carer.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0005]","24"
"Team","Team to which the individual belongs.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0012]","24"
"Professional Identifier","Professional identifier of the individual.","No","","Primary","IDENTIFIER","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.individual_professional_uk.v1/items[at0011]","24"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.reason_for_encounter.v1/data[at0001]","26"
"Reason for Contact","Identification of administrative reason for seeking healthcare.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.reason_for_encounter.v1/data[at0001]/items[at0002]","26"
"Presenting Problem","Identification of the clinical reason for seeking healthcare.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.reason_for_encounter.v1/data[at0001]/items[at0004]","26"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]","27"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]","27"
"Story","Narrative description of the clinical history or story.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","27"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]","28"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]","28"
"Story","Narrative description of the clinical history or story.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","28"
"Any event","Default, unspecified point in time or interval event which may be explicitly defined in a template or at run-time.","Yes: Timing","","Composite","DateTime or Interval<DateTime>","[0..1]","","Offset = ","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]","29"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]","29"
"Story","Narrative description of the clinical history or story.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.story.v1/data[at0001]/events[at0002]/data[at0003]/items[at0004]","29"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]","32"
"Procedure","The name of the procedure.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0002]","32"
"Description","Narrative description about the procedure carried out.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0049]","32"
"Comments","Comments about the procedure.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0005]","32"
"Multimedia","Multimedia representation of the procedure, including images.","No","","Primary","MULTIMEDIA","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0013]","32"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/protocol[at0053]","32"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]","33"
"Problem/Diagnosis","Identification of the index problem, issue or diagnosis.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0002]","33"
"Date of Onset","The date / time when the problem was first identified by the individual.","No","","Primary","DATE_TIME","[0..1]","","Allow all; yyyy-mm-ddthh:mm:ss","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0003]","33"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]","33"
"Supporting clinical evidence","Useful information on the internet about this condition.","No","","Primary","EHR_URI","[0..*]","","DV_EHR_URItruetruefalsefalse11","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]/items[at0035]","33"
"Temporal context","Temporal context indicator aligned with SNOMEDCT.","No","","Primary","CODED_TEXT","[0..1]","","Past","","N","","N","","n/a","Yes","Past (local::at0061)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0060]","34"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]","36"
"Problem/Diagnosis","Identification of the index problem, issue or diagnosis.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0002]","36"
"Date of Onset","The date / time when the problem was first identified by the individual.","No","","Primary","DATE_TIME","[0..1]","","Allow all; yyyy-mm-ddthh:mm:ss","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0003]","36"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]","36"
"Supporting clinical evidence","Useful information on the internet about this condition.","No","","Primary","EHR_URI","[0..*]","","DV_EHR_URItruetruefalsefalse11","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]/items[at0035]","36"
"Temporal context","Temporal context indicator aligned with SNOMEDCT.","No","","Primary","CODED_TEXT","[0..1]","","Past","","N","","N","","n/a","Yes","Past (local::at0061)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0060]","37"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]","38"
"Procedure","The name of the procedure.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0002]","38"
"Description","Narrative description about the procedure carried out.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0049]","38"
"Comments","Comments about the procedure.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0005]","38"
"Multimedia","Multimedia representation of the procedure, including images.","No","","Primary","MULTIMEDIA","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0013]","38"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/protocol[at0053]","38"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]","40"
"Problem/Diagnosis","Identification of the index problem, issue or diagnosis.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0002]","40"
